Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Gender
Stephanie's Summer Heart Box,Friends,95.0,7.99,40.0,1.0,52.0,jente
Woody & RC,Disney,69.0,9.99,28.0,1.0,36.0,nøytralt
Mia's Summer Heart Box,Friends,85.0,7.99,36.0,1.0,41.0,jente
Olivia's Summer Heart Box,Friends,93.0,7.99,40.0,2.0,48.0,jente
Police Patrol Car,City,92.0,9.99,36.0,1.0,52.0,gutt
Prince Puppycorn Trike,Unikitty,101.0,9.99,56.0,3.0,65.0,nøytralt
Kai Avatar - Arcade Pod,NINJAGO,49.0,9.99,3.0,2.0,31.0,gutt
Jay Avatar - Arcade Pod,NINJAGO,47.0,9.99,3.0,2.0,28.0,gutt
Police Bike,DUPLO,8.0,9.99,10.0,1.0,7.0,nøytralt
Pizza Stand,DUPLO,18.0,9.99,12.0,1.0,15.0,nøytralt
Emma's Mobile Veterinary Clinic ,Friends,50.0,9.99,28.0,1.0,35.0,jente
Barbecue Burn Out,City,64.0,9.99,28.0,2.0,45.0,gutt
Monster Truck,City,55.0,9.99,32.0,1.0,34.0,gutt
Jet Patrol,City,54.0,9.99,36.0,2.0,45.0,gutt
Construction Loader,City,88.0,9.99,36.0,1.0,50.0,gutt
Stunt Team,City,62.0,9.99,36.0,2.0,34.0,gutt
Cole's Speeder Car,NINJAGO,52.0,9.99,36.0,2.0,32.0,gutt
Ice Cream Cart,Friends,97.0,9.99,40.0,1.0,60.0,jente
Puppy Playground,Friends,57.0,9.99,40.0,1.0,41.0,jente
Police Dog Unit,City,67.0,9.99,40.0,2.0,48.0,gutt
Resistance Y-wing Microfighter,Star Wars,86.0,9.99,40.0,1.0,44.0,gutt
Street Sweeper,City,89.0,9.99,48.0,1.0,55.0,gutt
Mail Plane,City,74.0,9.99,52.0,1.0,55.0,gutt
Satellite Service Mission,City,84.0,9.99,56.0,1.0,52.0,gutt
Forest Fire,City,84.0,9.99,56.0,1.0,49.0,gutt
Jungle Raider,NINJAGO,127.0,9.99,60.0,1.0,61.0,gutt
Unikitty Cloud Car,Unikitty,126.0,9.99,60.0,3.0,83.0,nøytralt
Ocean Mini-Submarine,City,41.0,9.99,37.0,1.0,30.0,gutt
Olivia's Flower Garden,Friends,92.0,9.99,48.0,2.0,61.0,jente
Aurora's Royal Carriage,Disney,62.0,9.99,28.0,1.0,35.0,nøytralt
Lloyd Avatar - Arcade Pod,NINJAGO,48.0,9.99,3.0,2.0,28.0,gutt
Moana's Ocean Adventure,Disney,46.0,9.99,36.0,1.0,39.0,nøytralt
The Taiga Adventure,Minecraft,74.0,9.99,40.0,2.0,48.0,nøytralt
Kylo Ren's Shuttle Microfighter,Star Wars,72.0,9.99,40.0,1.0,40.0,gutt
Thanos Mech,Marvel,152.0,9.99,56.0,1.0,62.0,gutt
Iron Man Mech,Marvel,148.0,9.99,64.0,1.0,61.0,gutt
Spider-Man Mech,Marvel,152.0,9.99,68.0,1.0,62.0,gutt
Batboat The Penguin Pursuit!,Batman,54.0,9.99,44.0,2.0,41.0,gutt
Mighty Micros: Scarlet Spider vs. Sandman,Marvel,89.0,9.99,7.0,2.0,49.0,gutt
Arctic Exploration Team,City,70.0,9.99,28.0,3.0,47.0,gutt
Unikitty's Sweetest Friends EVER!,THE LEGO MOVIE 2,76.0,9.99,36.0,3.0,50.0,nøytralt
Olivia's Heart Box,Friends,85.0,7.99,32.0,2.0,38.0,jente
Chevrolet Camaro ZL1 Race Car,Speed Champions,198.0,14.99,60.0,1.0,81.0,gutt
McLaren Senna,Speed Champions,219.0,14.99,64.0,1.0,92.0,gutt
1974 Porsche 911 Turbo 3.0,Speed Champions,180.0,14.99,80.0,1.0,75.0,gutt
Sith Troopers Battle Pack,Star Wars,105.0,14.99,40.0,3.0,51.0,gutt
Mandalorian Battle Pack,Star Wars,102.0,14.99,44.0,4.0,59.0,gutt
Playroom,DUPLO,17.0,14.99,2.0,2.0,16.0,nøytralt
Death Star Cannon,Star Wars,159.0,19.99,80.0,2.0,79.0,gutt
Arctic Ice Glider,City,50.0,6.99,28.0,1.0,30.0,gutt
Spinjitzu Slam - Jay,NINJAGO,72.0,9.99,44.0,1.0,37.0,gutt
Emma's Summer Heart Box,Friends,86.0,7.99,36.0,1.0,45.0,jente
Bedroom,DUPLO,16.0,14.99,2.0,2.0,16.0,nøytralt
Stephanie's Heart Box,Friends,85.0,7.99,32.0,1.0,36.0,jente
Andrea's Summer Heart Box,Friends,83.0,7.99,36.0,1.0,46.0,jente
Cole - Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,54.0,gutt
The Samurai Mech,NINJAGO,154.0,14.99,48.0,3.0,71.0,gutt
Introducing Queen Watevra Wa'Nabi,THE LEGO MOVIE 2,115.0,19.99,48.0,4.0,82.0,nøytralt
Ferrari F40 Competizione,Speed Champions,198.0,14.99,56.0,1.0,72.0,gutt
Spinjitzu Slam - Lloyd,NINJAGO,70.0,9.99,44.0,1.0,34.0,gutt
Mia's Play Cube - Cinema,Friends,37.0,9.99,5.0,1.0,31.0,jente
Monastery Training,NINJAGO,122.0,9.99,40.0,2.0,65.0,gutt
Systar Party Crew,THE LEGO MOVIE 2,196.0,19.99,80.0,2.0,104.0,nøytralt
Party Time,Unikitty,214.0,19.99,80.0,4.0,119.0,nøytralt
Mulan's Storybook Adventures,Disney,124.0,19.99,3.0,3.0,72.0,nøytralt
Toy Story Train,Disney,21.0,19.99,8.0,2.0,19.0,nøytralt
Carnival Thrill Coaster,Disney,98.0,19.99,44.0,2.0,56.0,nøytralt
Expecto Patronum,Harry Potter,121.0,19.99,48.0,3.0,55.0,nøytralt
Vulture's Trucker Robbery,Marvel,93.0,19.99,48.0,3.0,62.0,gutt
Captain America: Outriders Attack,Marvel,167.0,19.99,52.0,3.0,75.0,gutt
Cole's Dirt Bike,NINJAGO,212.0,19.99,56.0,3.0,97.0,gutt
The Rise of Voldemort,Harry Potter,184.0,19.99,56.0,6.0,102.0,nøytralt
Mia's Foal Stable ,Friends,118.0,19.99,64.0,1.0,66.0,jente
Welcome to the Hidden Side,Hidden Side,189.0,19.99,68.0,4.0,103.0,gutt
The Chicken Coop,Minecraft,198.0,19.99,72.0,1.0,90.0,nøytralt
The End Battle,Minecraft,222.0,19.99,72.0,2.0,91.0,nøytralt
Construction Bulldozer,City,126.0,19.99,84.0,2.0,81.0,gutt
Avengers Speeder Bike Attack,Marvel,226.0,19.99,104.0,3.0,97.0,gutt
Snow Groomer,City,197.0,19.99,60.0,2.0,81.0,gutt
Anna's Canoe Expedition,LEGO Frozen 2,108.0,19.99,64.0,2.0,61.0,jente
Diving Yacht,City,148.0,19.99,64.0,2.0,81.0,gutt
Emmet's Thricycle!,THE LEGO MOVIE 2,174.0,14.99,84.0,1.0,100.0,nøytralt
Garbage Truck,City,90.0,19.99,40.0,2.0,52.0,gutt
Anna and Elsa's Storybook Adventures,LEGO Frozen 2,133.0,19.99,3.0,4.0,71.0,jente
Ariel's Storybook Adventures,Disney,105.0,19.99,3.0,3.0,61.0,nøytralt
Belle's Storybook Adventures,Disney,111.0,19.99,3.0,5.0,71.0,nøytralt
Mountain Fugitives,City,88.0,9.99,36.0,4.0,61.0,gutt
Jasmine's Petite Tower,Disney,49.0,9.99,24.0,1.0,35.0,nøytralt
Poppy's Pod,Trolls World Tour,103.0,19.99,68.0,1.0,70.0,jente
Techno Reef Dance Party,Trolls World Tour,173.0,19.99,72.0,1.0,85.0,jente
The Zombie Cave,Minecraft,241.0,19.99,84.0,3.0,88.0,nøytralt
Emma's Play Cube - Toy Store,Friends,49.0,9.99,5.0,1.0,42.0,jente
Andrea's Heart Box,Friends,84.0,7.99,32.0,1.0,38.0,jente
Speed Record Car,City,78.0,9.99,40.0,1.0,47.0,gutt
Jack's Beach Buggy,Hidden Side,170.0,19.99,56.0,3.0,98.0,gutt
The Wool Farm,Minecraft,260.0,19.99,80.0,1.0,81.0,nøytralt
Duel on Mustafar ,Star Wars,208.0,19.99,80.0,2.0,84.0,gutt
Rex's Rex-treme Offroader!,THE LEGO MOVIE 2,236.0,29.99,132.0,2.0,109.0,nøytralt
Imperial Patrol Battle Pack,Star Wars,99.0,14.99,36.0,3.0,43.0,gutt
The Panda Nursery,Minecraft,204.0,19.99,48.0,1.0,76.0,nøytralt
Good Morning Sparkle Babies!,THE LEGO MOVIE 2,50.0,9.99,32.0,4.0,44.0,nøytralt
Unstoppable Bike Chase,Minions,136.0,19.99,60.0,3.0,79.0,nøytralt
Ice-Cream Truck,City,200.0,19.99,100.0,2.0,112.0,gutt
Emma's Heart Box,Friends,85.0,7.99,32.0,1.0,38.0,jente
Mulan's Training Day,Disney,104.0,14.99,36.0,1.0,62.0,nøytralt
Elsa and Olaf's Tea Party,DUPLO,17.0,19.99,12.0,2.0,13.0,nøytralt
Olivia's Play Cube - Researcher,Friends,40.0,9.99,5.0,1.0,34.0,jente
Mia's Play Cube - Veterinarian,Friends,40.0,9.99,5.0,1.0,32.0,jente
Emma's Play Cube - Photographer,Friends,36.0,9.99,5.0,1.0,31.0,jente
Andrea's Car & Stage,Friends,240.0,19.99,68.0,2.0,116.0,jente
Submarine Adventure,DUPLO,24.0,19.99,8.0,2.0,22.0,nøytralt
Fire Truck,DUPLO,21.0,19.99,10.0,2.0,16.0,nøytralt
Minnie's Birthday Party,Disney,21.0,19.99,12.0,1.0,18.0,nøytralt
Spinjitzu Zane,NINJAGO,109.0,9.99,32.0,1.0,21.0,gutt
Juice Truck,Friends,103.0,19.99,52.0,2.0,75.0,jente
Kai's Fire Dragon,NINJAGO,81.0,19.99,60.0,2.0,48.0,gutt
Safari Off-Roader,City,168.0,19.99,76.0,2.0,86.0,gutt
Heartlake City Hair Salon,Friends,235.0,19.99,84.0,2.0,138.0,jente
T-16 Skyhopper vs Bantha Microfighters,Star Wars,198.0,19.99,84.0,2.0,100.0,gutt
Kai's Mech Jet,NINJAGO,217.0,19.99,116.0,2.0,94.0,gutt
Naboo Starfighter Microfighter,Star Wars,62.0,9.99,36.0,1.0,42.0,gutt
Spinjitzu Slam - Zane,NINJAGO,63.0,9.99,40.0,1.0,37.0,gutt
Stephanie's Play Cube - Baker,Friends,44.0,9.99,5.0,1.0,37.0,jente
Mia's Heart Box,Friends,83.0,7.99,32.0,1.0,38.0,jente
Olivia's Play Cube - Sweet Shop,Friends,47.0,9.99,5.0,1.0,40.0,jente
Desert Rally Racer,City,75.0,9.99,36.0,1.0,45.0,gutt
Andrea's Play Cube - Singer,Friends,49.0,9.99,5.0,1.0,32.0,jente
Rapunzel's Small Tower,Disney,44.0,9.99,24.0,1.0,28.0,nøytralt
Mia's Forest Adventures ,Friends,134.0,14.99,44.0,1.0,77.0,jente
Nissan GT-R NISMO,Speed Champions,298.0,19.99,80.0,1.0,101.0,gutt
Cole - Spinjitzu Master,NINJAGO,73.0,9.99,32.0,1.0,40.0,gutt
Zane - Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,54.0,gutt
Mighty Micros: Star-Lord vs. Nebula,Marvel,86.0,9.99,7.0,2.0,45.0,gutt
Zane - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,1.0,38.0,gutt
Andrea's Play Cube - Pet Shop,Friends,40.0,9.99,5.0,1.0,33.0,jente
Bubbles Playground Showdown,Powerpuff Girls,144.0,19.99,48.0,3.0,92.0,jente
Benny's Space Squad,THE LEGO MOVIE 2,68.0,9.99,32.0,5.0,53.0,nøytralt
Lloyd's Journey,NINJAGO,81.0,14.99,36.0,2.0,50.0,gutt
Olivia's Hamster Playground,Friends,81.0,9.99,40.0,1.0,52.0,jente
Snowspeeder,Star Wars,91.0,19.99,56.0,2.0,64.0,gutt
Hogwarts Room of Requirement,Harry Potter,193.0,19.99,60.0,4.0,90.0,nøytralt
Dr. Wu's Lab: Baby Dinosaurs Breakout,Jurassic World,164.0,19.99,64.0,2.0,100.0,gutt
Heartlake City Park Caf�,Friends,224.0,19.99,72.0,2.0,117.0,jente
Spider-Man vs. Doc Ock,Marvel,234.0,19.99,72.0,3.0,80.0,gutt
Ferrari F8 Tributo,Speed Champions,275.0,19.99,72.0,1.0,92.0,gutt
1985 Audi Sport Quattro S1,Speed Champions,250.0,19.99,76.0,1.0,102.0,gutt
Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO MOVIE 2,117.0,19.99,48.0,2.0,73.0,nøytralt
Duke Caboom's Stunt Show,Disney,120.0,19.99,48.0,2.0,62.0,nøytralt
Golden Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,54.0,gutt
J.B.'s Submarine,Hidden Side,224.0,19.99,64.0,3.0,120.0,gutt
