Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Kjønn
Police Patrol Car,City,92.0,9.99,36.0,1.0,52.0,gutt
Kai Avatar - Arcade Pod,NINJAGO,49.0,9.99,3.0,2.0,31.0,gutt
Jay Avatar - Arcade Pod,NINJAGO,47.0,9.99,3.0,2.0,28.0,gutt
Barbecue Burn Out,City,64.0,9.99,28.0,2.0,45.0,gutt
Monster Truck,City,55.0,9.99,32.0,1.0,34.0,gutt
Jet Patrol,City,54.0,9.99,36.0,2.0,45.0,gutt
Construction Loader,City,88.0,9.99,36.0,1.0,50.0,gutt
Stunt Team,City,62.0,9.99,36.0,2.0,34.0,gutt
Cole's Speeder Car,NINJAGO,52.0,9.99,36.0,2.0,32.0,gutt
Police Dog Unit,City,67.0,9.99,40.0,2.0,48.0,gutt
Resistance Y-wing Microfighter,Star Wars,86.0,9.99,40.0,1.0,44.0,gutt
Street Sweeper,City,89.0,9.99,48.0,1.0,55.0,gutt
Mail Plane,City,74.0,9.99,52.0,1.0,55.0,gutt
Satellite Service Mission,City,84.0,9.99,56.0,1.0,52.0,gutt
Forest Fire,City,84.0,9.99,56.0,1.0,49.0,gutt
Jungle Raider,NINJAGO,127.0,9.99,60.0,1.0,61.0,gutt
Ocean Mini-Submarine,City,41.0,9.99,37.0,1.0,30.0,gutt
Lloyd Avatar - Arcade Pod,NINJAGO,48.0,9.99,3.0,2.0,28.0,gutt
Kylo Ren's Shuttle Microfighter,Star Wars,72.0,9.99,40.0,1.0,40.0,gutt
Thanos Mech,Marvel,152.0,9.99,56.0,1.0,62.0,gutt
Iron Man Mech,Marvel,148.0,9.99,64.0,1.0,61.0,gutt
Spider-Man Mech,Marvel,152.0,9.99,68.0,1.0,62.0,gutt
Batboat The Penguin Pursuit!,Batman,54.0,9.99,44.0,2.0,41.0,gutt
Mighty Micros: Scarlet Spider vs. Sandman,Marvel,89.0,9.99,7.0,2.0,49.0,gutt
Arctic Exploration Team,City,70.0,9.99,28.0,3.0,47.0,gutt
Chevrolet Camaro ZL1 Race Car,Speed Champions,198.0,14.99,60.0,1.0,81.0,gutt
McLaren Senna,Speed Champions,219.0,14.99,64.0,1.0,92.0,gutt
1974 Porsche 911 Turbo 3.0,Speed Champions,180.0,14.99,80.0,1.0,75.0,gutt
Sith Troopers Battle Pack,Star Wars,105.0,14.99,40.0,3.0,51.0,gutt
Mandalorian Battle Pack,Star Wars,102.0,14.99,44.0,4.0,59.0,gutt
Death Star Cannon,Star Wars,159.0,19.99,80.0,2.0,79.0,gutt
Arctic Ice Glider,City,50.0,6.99,28.0,1.0,30.0,gutt
Spinjitzu Slam - Jay,NINJAGO,72.0,9.99,44.0,1.0,37.0,gutt
Cole - Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,54.0,gutt
The Samurai Mech,NINJAGO,154.0,14.99,48.0,3.0,71.0,gutt
Ferrari F40 Competizione,Speed Champions,198.0,14.99,56.0,1.0,72.0,gutt
Spinjitzu Slam - Lloyd,NINJAGO,70.0,9.99,44.0,1.0,34.0,gutt
Monastery Training,NINJAGO,122.0,9.99,40.0,2.0,65.0,gutt
Vulture's Trucker Robbery,Marvel,93.0,19.99,48.0,3.0,62.0,gutt
Captain America: Outriders Attack,Marvel,167.0,19.99,52.0,3.0,75.0,gutt
Cole's Dirt Bike,NINJAGO,212.0,19.99,56.0,3.0,97.0,gutt
Welcome to the Hidden Side,Hidden Side,189.0,19.99,68.0,4.0,103.0,gutt
Construction Bulldozer,City,126.0,19.99,84.0,2.0,81.0,gutt
Avengers Speeder Bike Attack,Marvel,226.0,19.99,104.0,3.0,97.0,gutt
Snow Groomer,City,197.0,19.99,60.0,2.0,81.0,gutt
Diving Yacht,City,148.0,19.99,64.0,2.0,81.0,gutt
Garbage Truck,City,90.0,19.99,40.0,2.0,52.0,gutt
Mountain Fugitives,City,88.0,9.99,36.0,4.0,61.0,gutt
Speed Record Car,City,78.0,9.99,40.0,1.0,47.0,gutt
Jack's Beach Buggy,Hidden Side,170.0,19.99,56.0,3.0,98.0,gutt
Duel on Mustafar ,Star Wars,208.0,19.99,80.0,2.0,84.0,gutt
Imperial Patrol Battle Pack,Star Wars,99.0,14.99,36.0,3.0,43.0,gutt
Ice-Cream Truck,City,200.0,19.99,100.0,2.0,112.0,gutt
Spinjitzu Zane,NINJAGO,109.0,9.99,32.0,1.0,21.0,gutt
Kai's Fire Dragon,NINJAGO,81.0,19.99,60.0,2.0,48.0,gutt
Safari Off-Roader,City,168.0,19.99,76.0,2.0,86.0,gutt
T-16 Skyhopper vs Bantha Microfighters,Star Wars,198.0,19.99,84.0,2.0,100.0,gutt
Kai's Mech Jet,NINJAGO,217.0,19.99,116.0,2.0,94.0,gutt
Naboo Starfighter Microfighter,Star Wars,62.0,9.99,36.0,1.0,42.0,gutt
Spinjitzu Slam - Zane,NINJAGO,63.0,9.99,40.0,1.0,37.0,gutt
Desert Rally Racer,City,75.0,9.99,36.0,1.0,45.0,gutt
Nissan GT-R NISMO,Speed Champions,298.0,19.99,80.0,1.0,101.0,gutt
Cole - Spinjitzu Master,NINJAGO,73.0,9.99,32.0,1.0,40.0,gutt
Zane - Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,54.0,gutt
Mighty Micros: Star-Lord vs. Nebula,Marvel,86.0,9.99,7.0,2.0,45.0,gutt
Zane - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,1.0,38.0,gutt
Lloyd's Journey,NINJAGO,81.0,14.99,36.0,2.0,50.0,gutt
Snowspeeder,Star Wars,91.0,19.99,56.0,2.0,64.0,gutt
Dr. Wu's Lab: Baby Dinosaurs Breakout,Jurassic World,164.0,19.99,64.0,2.0,100.0,gutt
Spider-Man vs. Doc Ock,Marvel,234.0,19.99,72.0,3.0,80.0,gutt
Ferrari F8 Tributo,Speed Champions,275.0,19.99,72.0,1.0,92.0,gutt
1985 Audi Sport Quattro S1,Speed Champions,250.0,19.99,76.0,1.0,102.0,gutt
Golden Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,54.0,gutt
J.B.'s Submarine,Hidden Side,224.0,19.99,64.0,3.0,120.0,gutt
Battle-Ready Batman and MetalBeard,Batman,168.0,19.99,64.0,2.0,98.0,gutt
Kai - Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,53.0,gutt
Batman vs. The Riddler Robbery,Batman,59.0,9.99,36.0,2.0,44.0,gutt
Mining Power Splitter,City,127.0,19.99,60.0,1.0,85.0,gutt
Spinjitzu Slam - Kai vs. Samurai,NINJAGO,164.0,19.99,76.0,2.0,67.0,gutt
Outrider Dropship Attack,Marvel,124.0,14.99,52.0,3.0,63.0,gutt
Mining Team,City,82.0,9.99,32.0,4.0,64.0,gutt
Drone Chase,City,192.0,29.99,100.0,3.0,112.0,gutt
Jay - Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,53.0,gutt
Molten Man Battle,Spider-Man,294.0,29.99,76.0,3.0,117.0,gutt
Spider-Man Car Chase,Marvel,52.0,9.99,36.0,2.0,38.0,gutt
J.B.'s Ghost Lab,Hidden Side,174.0,19.99,64.0,3.0,104.0,gutt
Hoth Generator Attack,Star Wars,235.0,29.99,68.0,2.0,101.0,gutt
Kayak Adventure,City,84.0,9.99,36.0,1.0,48.0,gutt
Airshow Jet,City,87.0,9.99,56.0,1.0,53.0,gutt
Sith Infiltrator Microfighter,Star Wars,92.0,9.99,40.0,1.0,45.0,gutt
Dock Side Fire,City,97.0,19.99,48.0,2.0,63.0,gutt
Graveyard Mystery,Hidden Side,335.0,29.99,112.0,4.0,160.0,gutt
Fire Helicopter Response,City,93.0,29.99,44.0,3.0,61.0,gutt
Racing Cars,City,190.0,29.99,84.0,2.0,101.0,gutt
Wrecked Shrimp Boat,Hidden Side,310.0,29.99,108.0,4.0,150.0,gutt
Jay and Lloyd's Velocity Racers,NINJAGO,322.0,29.99,148.0,3.0,142.0,gutt
Fire Chief Response Truck,City,201.0,29.99,84.0,2.0,98.0,gutt
Rover Testing Drive,City,202.0,29.99,96.0,2.0,98.0,gutt
Shuricopter,NINJAGO,361.0,29.99,100.0,3.0,163.0,gutt
