Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Kjønn
Stephanie's Summer Heart Box,Friends,95.0,7.99,40.0,1.0,52.0,jente
Mia's Summer Heart Box,Friends,85.0,7.99,36.0,1.0,41.0,jente
Olivia's Summer Heart Box,Friends,93.0,7.99,40.0,2.0,48.0,jente
Emma's Mobile Veterinary Clinic ,Friends,50.0,9.99,28.0,1.0,35.0,jente
Ice Cream Cart,Friends,97.0,9.99,40.0,1.0,60.0,jente
Puppy Playground,Friends,57.0,9.99,40.0,1.0,41.0,jente
Olivia's Flower Garden,Friends,92.0,9.99,48.0,2.0,61.0,jente
Olivia's Heart Box,Friends,85.0,7.99,32.0,2.0,38.0,jente
Emma's Summer Heart Box,Friends,86.0,7.99,36.0,1.0,45.0,jente
Stephanie's Heart Box,Friends,85.0,7.99,32.0,1.0,36.0,jente
Andrea's Summer Heart Box,Friends,83.0,7.99,36.0,1.0,46.0,jente
Mia's Play Cube - Cinema,Friends,37.0,9.99,5.0,1.0,31.0,jente
Mia's Foal Stable ,Friends,118.0,19.99,64.0,1.0,66.0,jente
Anna's Canoe Expedition,LEGO Frozen 2,108.0,19.99,64.0,2.0,61.0,jente
Anna and Elsa's Storybook Adventures,LEGO Frozen 2,133.0,19.99,3.0,4.0,71.0,jente
Poppy's Pod,Trolls World Tour,103.0,19.99,68.0,1.0,70.0,jente
Techno Reef Dance Party,Trolls World Tour,173.0,19.99,72.0,1.0,85.0,jente
Emma's Play Cube - Toy Store,Friends,49.0,9.99,5.0,1.0,42.0,jente
Andrea's Heart Box,Friends,84.0,7.99,32.0,1.0,38.0,jente
Emma's Heart Box,Friends,85.0,7.99,32.0,1.0,38.0,jente
Olivia's Play Cube - Researcher,Friends,40.0,9.99,5.0,1.0,34.0,jente
Mia's Play Cube - Veterinarian,Friends,40.0,9.99,5.0,1.0,32.0,jente
Emma's Play Cube - Photographer,Friends,36.0,9.99,5.0,1.0,31.0,jente
Andrea's Car & Stage,Friends,240.0,19.99,68.0,2.0,116.0,jente
Juice Truck,Friends,103.0,19.99,52.0,2.0,75.0,jente
Heartlake City Hair Salon,Friends,235.0,19.99,84.0,2.0,138.0,jente
Stephanie's Play Cube - Baker,Friends,44.0,9.99,5.0,1.0,37.0,jente
Mia's Heart Box,Friends,83.0,7.99,32.0,1.0,38.0,jente
Olivia's Play Cube - Sweet Shop,Friends,47.0,9.99,5.0,1.0,40.0,jente
Andrea's Play Cube - Singer,Friends,49.0,9.99,5.0,1.0,32.0,jente
Mia's Forest Adventures ,Friends,134.0,14.99,44.0,1.0,77.0,jente
Andrea's Play Cube - Pet Shop,Friends,40.0,9.99,5.0,1.0,33.0,jente
Bubbles Playground Showdown,Powerpuff Girls,144.0,19.99,48.0,3.0,92.0,jente
Olivia's Hamster Playground,Friends,81.0,9.99,40.0,1.0,52.0,jente
Heartlake City Park Cafï¿½,Friends,224.0,19.99,72.0,2.0,117.0,jente
Baby Elephant Jungle Rescue,Friends,203.0,19.99,68.0,2.0,111.0,jente
Elsa and the Reindeer Carriage,LEGO Frozen 2,116.0,29.99,72.0,1.0,78.0,jente
Lonesome Flats Raft Adventure,Trolls World Tour,159.0,29.99,100.0,3.0,110.0,jente
Underwater Loop,Friends,389.0,29.99,76.0,2.0,165.0,jente
Mia's Organic Food Market,Friends,115.0,19.99,56.0,1.0,70.0,jente
Poppy's Air Balloon Adventure,Trolls World Tour,250.0,29.99,68.0,3.0,121.0,jente
Nature Glamping,Friends,241.0,29.99,72.0,2.0,110.0,jente
Olivia's Cupcake Cafe,Friends,335.0,29.99,100.0,2.0,185.0,jente
Service & Care Truck,Friends,247.0,19.99,84.0,1.0,123.0,jente
Heart Box Friendship Pack,Friends,199.0,19.99,60.0,2.0,90.0,jente
Stephanie's Bedroom,Friends,95.0,9.99,44.0,1.0,72.0,jente
Emma's Fashion Shop,Friends,343.0,29.99,112.0,2.0,152.0,jente
