Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Kjønn
Woody & RC,Disney,69.0,9.99,28.0,1.0,36.0,nøytralt
Prince Puppycorn Trike,Unikitty,101.0,9.99,56.0,3.0,65.0,nøytralt
Police Bike,DUPLO,8.0,9.99,10.0,1.0,7.0,nøytralt
Pizza Stand,DUPLO,18.0,9.99,12.0,1.0,15.0,nøytralt
Unikitty Cloud Car,Unikitty,126.0,9.99,60.0,3.0,83.0,nøytralt
Aurora's Royal Carriage,Disney,62.0,9.99,28.0,1.0,35.0,nøytralt
Moana's Ocean Adventure,Disney,46.0,9.99,36.0,1.0,39.0,nøytralt
The Taiga Adventure,Minecraft,74.0,9.99,40.0,2.0,48.0,nøytralt
Unikitty's Sweetest Friends EVER!,THE LEGO MOVIE 2,76.0,9.99,36.0,3.0,50.0,nøytralt
Playroom,DUPLO,17.0,14.99,2.0,2.0,16.0,nøytralt
Bedroom,DUPLO,16.0,14.99,2.0,2.0,16.0,nøytralt
Introducing Queen Watevra Wa'Nabi,THE LEGO MOVIE 2,115.0,19.99,48.0,4.0,82.0,nøytralt
Systar Party Crew,THE LEGO MOVIE 2,196.0,19.99,80.0,2.0,104.0,nøytralt
Party Time,Unikitty,214.0,19.99,80.0,4.0,119.0,nøytralt
Mulan's Storybook Adventures,Disney,124.0,19.99,3.0,3.0,72.0,nøytralt
Toy Story Train,Disney,21.0,19.99,8.0,2.0,19.0,nøytralt
Carnival Thrill Coaster,Disney,98.0,19.99,44.0,2.0,56.0,nøytralt
Expecto Patronum,Harry Potter,121.0,19.99,48.0,3.0,55.0,nøytralt
The Rise of Voldemort,Harry Potter,184.0,19.99,56.0,6.0,102.0,nøytralt
The Chicken Coop,Minecraft,198.0,19.99,72.0,1.0,90.0,nøytralt
The End Battle,Minecraft,222.0,19.99,72.0,2.0,91.0,nøytralt
Emmet's Thricycle!,THE LEGO MOVIE 2,174.0,14.99,84.0,1.0,100.0,nøytralt
Ariel's Storybook Adventures,Disney,105.0,19.99,3.0,3.0,61.0,nøytralt
Belle's Storybook Adventures,Disney,111.0,19.99,3.0,5.0,71.0,nøytralt
Jasmine's Petite Tower,Disney,49.0,9.99,24.0,1.0,35.0,nøytralt
The Zombie Cave,Minecraft,241.0,19.99,84.0,3.0,88.0,nøytralt
The Wool Farm,Minecraft,260.0,19.99,80.0,1.0,81.0,nøytralt
Rex's Rex-treme Offroader!,THE LEGO MOVIE 2,236.0,29.99,132.0,2.0,109.0,nøytralt
The Panda Nursery,Minecraft,204.0,19.99,48.0,1.0,76.0,nøytralt
Good Morning Sparkle Babies!,THE LEGO MOVIE 2,50.0,9.99,32.0,4.0,44.0,nøytralt
Unstoppable Bike Chase,Minions,136.0,19.99,60.0,3.0,79.0,nøytralt
Mulan's Training Day,Disney,104.0,14.99,36.0,1.0,62.0,nøytralt
Elsa and Olaf's Tea Party,DUPLO,17.0,19.99,12.0,2.0,13.0,nøytralt
Submarine Adventure,DUPLO,24.0,19.99,8.0,2.0,22.0,nøytralt
Fire Truck,DUPLO,21.0,19.99,10.0,2.0,16.0,nøytralt
Minnie's Birthday Party,Disney,21.0,19.99,12.0,1.0,18.0,nøytralt
Rapunzel's Small Tower,Disney,44.0,9.99,24.0,1.0,28.0,nøytralt
Benny's Space Squad,THE LEGO MOVIE 2,68.0,9.99,32.0,5.0,53.0,nøytralt
Hogwarts Room of Requirement,Harry Potter,193.0,19.99,60.0,4.0,90.0,nøytralt
Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO MOVIE 2,117.0,19.99,48.0,2.0,73.0,nøytralt
Duke Caboom's Stunt Show,Disney,120.0,19.99,48.0,2.0,62.0,nøytralt
Wrecking Ball,Overwatch,227.0,19.99,84.0,1.0,78.0,nøytralt
World Fun,Classic,295.0,19.99,53.0,2.0,149.0,nøytralt
Buzz and Bo Peep's Playground Adventure,Disney,139.0,24.99,48.0,3.0,85.0,nøytralt
Tracer vs. Widowmaker,Overwatch,129.0,14.99,48.0,2.0,74.0,nøytralt
